,corpus
96,back
97,food arriv quickli
98,good
99,side cafe serv realli good food
100,server fantast found wife love roast garlic bone marrow ad extra meal anoth marrow go
101,good thing waiter help kept bloddi mari come
102,best buffet town price cannot beat
103,love mussel cook wine reduct duck tender potato dish delici
104,one better buffet
105,went tigerlilli fantast afternoon
106,food delici bartend attent person got great deal
107,ambienc wonder music play
108,go back next trip
109,sooooo good
110,real sushi lover let honest yama good
111,least min pass us order food arriv busi
112,realli fantast thai restaur definit worth visit
113,nice spici tender
114,good price
115,check
116,pretti gross
117,better atmospher
118,kind hard mess steak
119,although much like look sound place actual experi bit disappoint
120,know place manag serv blandest food ever eaten prepar indian cuisin
121,worst servic boot least worri
122,servic fine waitress friendli
123,guy steak steak love son steak best worst place said best steak ever eaten
124,thought ventur away get good sushi place realli hit spot night
125,host staff lack better word bitch
126,bland like place number reason want wast time bad review leav
127,phenomen food servic ambianc
128,return
129,definit worth ventur strip pork belli return next time vega
130,place way overpr mediocr food
131,penn vodka excel
132,good select food includ massiv meatloaf sandwich crispi chicken wrap delish tuna melt tasti burger
133,manag rude
134,delici nyc bagel good select cream chees real lox caper even
135,great subway fact good come everi subway meet expect
136,serious solid breakfast
137,one best bar food vega
138,extrem rude realli mani restaur would love dine weekend vega
139,drink never empti made realli great menu suggest
140,
141,waiter help friendli rare check us
142,husband ate lunch disappoint food servic
143,red curri much bamboo shoot tasti
144,nice blanket moz top feel like done cover subpar food
145,bathroom clean place well decor
146,menu alway chang food qualiti go servic extrem slow
147,servic littl slow consid serv peopl server food come slow pace
148,give thumb
149,watch waiter pay lot attent tabl ignor us
150,fianc came middl day greet seat right away
151,great restaur mandalay bay
152,wait forti five minut vain
153,crostini came salad stale
154,highlight great qualiti nigiri
155,staff friendli joint alway clean
156,differ cut piec day still wonder tender well well flavor
157,order voodoo pasta first time realli excel pasta sinc go gluten free sever year ago
158,place good
159,unfortun must hit bakeri leftov day everyth order stale
160,came back today sinc reloc still impress
161,seat immedi
162,menu divers reason price
163,avoid cost
164,restaur alway full never wait
165,delici
166,place hand one best place eat phoenix metro area
167,go look good food
168,never treat bad
169,bacon hella salti
170,also order spinach avocado salad ingredi sad dress liter zero tast
171,realli vega fine dine use right menu hand ladi price list
172,waitress friendli
173,lordi khao soi dish miss curri lover
174,everyth menu terrif also thrill made amaz accommod vegetarian daughter
175,perhap caught night judg review inspir go back
176,servic leav lot desir
177,atmospher modern hip maintain touch cozi
178,weekli haunt definit place come back everi
179,liter sat minut one ask take order
180,burger absolut flavor meat total bland burger overcook charcoal flavor
181,also decid send back waitress look like verg heart attack
182,dress treat rude
183,probabl dirt
184,love place hit spot want someth healthi lack quantiti flavor
185,order lemon raspberri ice cocktail also incred
186,food suck expect suck could imagin
187,interest decor
188,realli like crepe station
189,also serv hot bread butter home made potato chip bacon bit top origin good
190,watch prepar delici food
191,egg roll fantast
192,order arriv one gyro miss
193,salad wing ice cream dessert left feel quit satisfi
194,realli sure joey vote best hot dog valley reader phoenix magazin
195,best place go tasti bowl pho
196,live music friday total blow
197,never insult felt disrespect
198,friendli staff
199,worth drive
200,heard good thing place exceed everi hope could dream
201,food great serivc
202,warm beer help
203,great brunch spot
204,servic friendli invit
205,good lunch spot
206,live sinc first last time step foot place
207,worst experi ever
208,must night place
209,side delish mix mushroom yukon gold pure white corn beateou
210,bug never show would given sure side wall bug climb kitchen
211,minut wait salad realiz come time soon
212,friend love salmon tartar
213,go back
214,extrem tasti
215,waitress good though
216,soggi good
217,jamaican mojito delici
218,small worth price
219,food rich order accordingli
220,shower area outsid rins take full shower unless mind nude everyon see
221,servic bit lack
222,lobster bisqu bussel sprout risotto filet need salt pepper cours none tabl
223,hope bode go busi someon cook come
224,either cold enough flavor bad
225,love bacon wrap date
226,unbeliev bargain
227,folk otto alway make us feel welcom special
228,main also uninspir
229,place first pho amaz
230,wonder experi made place must stop whenev town
231,food bad enough enjoy deal world worst annoy drunk peopl
232,fun chef
233,order doubl cheeseburg got singl patti fall apart pictur upload yeah still suck
234,great place coupl drink watch sport event wall cover tv
235,possibl give zero star
236,descript said yum yum sauc anoth said eel sauc yet anoth said spici mayo well none roll sauc
237,say would hardest decis honestli dish tast suppos tast amaz
238,roll eye may stay sure go back tri
239,everyon attent provid excel custom servic
240,horribl wast time money
241,dish quit flavour
242,time side restaur almost empti excus
243,busi either also build freez cold
244,like review said pay eat place
245,drink took close minut come one point
246,serious flavor delight folk
247,much better ayc sushi place went vega
248,light dark enough set mood
249,base sub par servic receiv effort show gratitud busi go back
250,owner realli great peopl
251,noth privileg work eat
252,greek dress creami flavor
253,overal think would take parent place made similar complaint silent felt
254,pizza good peanut sauc tasti
255,tabl servic pretti fast
256,fantast servic
257,well would given godfath zero star possibl
258,know make
259,tough short flavor
260,hope place stick around
261,bar vega ever recal charg tap water
262,restaur atmospher exquisit
263,good servic clean inexpens boot
264,seafood fresh gener portion
265,plu buck
266,servic par either
267,thu far visit twice food absolut delici time
268,good year ago
269,self proclaim coffe cafe wildli disappoint
270,veggitarian platter world
271,cant go wrong food
272,beat
273,stop place madison ironman friendli kind staff
274,chef friendli good job
275,better dedic boba tea spot even jenni pho
276,like patio servic outstand
277,goat taco skimp meat wow flavor
278,think
279,mac salad pretti bland get
280,went bachi burger friend recommend disappoint
281,servic stink
282,wait wait
283,place qualiti sushi qualiti restaur
284,would definit recommend wing well pizza
285,great pizza salad
286,thing went wrong burn saganaki
287,wait hour breakfast could done time better home
288,place amaz
289,hate disagre fellow yelper husband disappoint place
290,wait hour never got either pizza mani around us came later
291,know slow
292,staff great food delish incred beer select
293,live neighborhood disappoint back conveni locat
294,know pull pork could soooo delici
295,get incred fresh fish prepar care
296,go gave star rate pleas know third time eat bachi burger write review
297,love fact everyth menu worth
298,never dine place
299,food excel servic good
300,good beer drink select good food select
301,pleas stay away shrimp stir fri noodl
302,potato chip order sad could probabl count mani chip box probabl around
303,food realli bore
304,good servic check
305,greedi corpor never see anoth dime
306,never ever go back
307,much like go back get pass atroci servic never return
308,summer dine charm outdoor patio delight
309,expect good
310,fantast food
311,order toast english muffin came untoast
312,food good
313,never go back
314,great food price high qualiti hous made
315,bu boy hand rude
316,point friend basic figur place joke mind make publicli loudli known
317,back good bbq lighter fare reason price tell public back old way
318,consid two us left full happi go wrong
319,bread made hous
320,downsid servic
321,also fri without doubt worst fri ever
322,servic except food good review
323,coupl month later return amaz meal
324,favorit place town shawarrrrrrma
325,black eye pea sweet potato unreal
326,disappoint
327,could serv vinaigrett may make better overal dish still good
328,go far mani place never seen restaur serv egg breakfast especi
329,mom got home immedi got sick bite salad
330,server pleasant deal alway honor pizza hut coupon
331,truli unbeliev good glad went back
332,fantast servic pleas atmospher
333,everyth gross
334,love place
335,great servic food
336,first bathroom locat dirti seat cover replenish plain yucki
337,burger got gold standard burger kind disappoint
338,omg food delicioso
339,noth authent place
340,spaghetti noth special whatsoev
341,dish salmon best great
342,veget fresh sauc feel like authent thai
343,worth drive tucson
344,select probabl worst seen vega none
345,pretti good beer select
346,place like chipotl better
347,classi warm atmospher fun fresh appet succul steak basebal steak
348,star brick oven bread app
349,eaten multipl time time food delici
350,sat anoth ten minut final gave left
351,terribl
352,everyon treat equal special
353,take min pancak egg
354,delici
355,good side staff genuin pleasant enthusiast real treat
356,sadli gordon ramsey steak place shall sharpli avoid next trip vega
357,alway even wonder food delici
358,best fish ever life
359,bathroom next door nice
360,buffet small food offer bland
361,outstand littl restaur best food ever tast
362,pretti cool would say
363,definit turn doubt back unless someon els buy
364,server great job handl larg rowdi tabl
365,find wast food despic food
366,wife lobster bisqu soup lukewarm
367,would come back sushi crave vega
368,staff great ambianc great
369,deserv star
370,left stomach ach felt sick rest day
371,drop ball
372,dine space tini elegantli decor comfort
373,custom order way like usual eggplant green bean stir fri love
374,bean rice mediocr best
375,best taco town far
376,took back money got outta
377,interest part town place amaz
378,rude inconsider manag
379,staff friendli wait time serv horribl one even say hi first minut
380,back
381,great dinner
382,servic outshin definit recommend halibut
383,food terribl
384,never ever go back told mani peopl happen
385,recommend unless car break front starv
386,come back everi time vega
387,place deserv one star food
388,disgrac
389,def come back bowl next time
390,want healthi authent ethic food tri place
391,continu come ladi night andddd date night highli recommend place anyon area
392,sever time past experi alway great
393,walk away stuf happi first vega buffet experi
394,servic excel price pretti reason consid vega locat insid crystal shop mall aria
395,summar food incred nay transcend noth bring joy quit like memori pneumat condiment dispens
396,probabl one peopl ever go ian like
397,kid pizza alway hit lot great side dish option kiddo
398,servic perfect famili atmospher nice see
399,cook perfect servic impecc
400,one simpli disappoint
401,overal disappoint qualiti food bouchon
402,account know get screw
403,great place eat remind littl mom pop shop san francisco bay area
404,today first tast buldogi gourmet hot dog tell ever thought possibl
405,left frustrat
406,definit soon
407,food realli good got full petti fast
408,servic fantast
409,total wast time
410,know kind best ice tea
411,come hungri leav happi stuf
412,servic give star
413,assur disappoint
414,take littl bad servic food suck
415,gave tri eat crust teeth still sore
416,complet gross
417,realli enjoy eat
418,first time go think quickli becom regular
419,server nice even though look littl overwhelm need stay profession friendli end
420,dinner companion told everyth fresh nice textur tast
421,ground right next tabl larg smear step track everywher pile green bird poop
422,furthermor even find hour oper websit
423,tri like place time think done
424,mistak
425,complaint
426,serious good pizza expert connisseur topic
427,waiter jerk
428,strike want rush
429,nicest restaur owner ever come across
430,never come
431,love biscuit
432,servic quick friendli
433,order appet took minut pizza anoth minut
434,absolutley fantast
435,huge awkward lb piec cow th gristl fat
436,definit come back
437,like steiner dark feel like bar
438,wow spici delici
439,familiar check
440,take busi dinner dollar elsewher
441,love go back
442,anyway fs restaur wonder breakfast lunch
443,noth special
444,day week differ deal delici
445,mention combin pear almond bacon big winner
446,back
447,sauc tasteless
448,food delici spici enough sure ask spicier prefer way
449,ribey steak cook perfectli great mesquit flavor
450,think go back anytim soon
451,food gooodd
452,far sushi connoisseur definit tell differ good food bad food certainli bad food
453,insult
454,last time lunch bad
455,chicken wing contain driest chicken meat ever eaten
456,food good enjoy everi mouth enjoy relax venu coupl small famili group etc
457,nargil think great
458,best tater tot southwest
459,love place
460,definit worth paid
461,vanilla ice cream creami smooth profiterol choux pastri fresh enough
462,im az time new spot
463,manag worst
464,insid realli quit nice clean
465,food outstand price reason
466,think run back carli anytim soon food
467,due fact took minut acknowledg anoth minut get food kept forget thing
468,love margarita
469,first vega buffet disappoint
470,good though
471,one note ventil could use upgrad
472,great pork sandwich
473,wast time
474,total letdown would much rather go camelback flower shop cartel coffe
475,third chees friend burger cold
476,enjoy pizza brunch
477,steak well trim also perfectli cook
478,group claim would handl us beauti
479,love
480,ask bill leav without eat bring either
481,place jewel la vega exactli hope find nearli ten year live
482,seafood limit boil shrimp crab leg crab leg definit tast fresh
483,select food best
484,delici absolut back
485,small famili restaur fine dine establish
486,toro tartar cavier extraordinari like thinli slice wagyu white truffl
487,dont think back long time
488,attach ga station rare good sign
489,awesom
490,back mani time soon
491,menu much good stuff could decid
492,wors humili worker right front bunch horribl name call
493,conclus fill meal
494,daili special alway hit group
495,tragedi struck
496,pancak also realli good pretti larg
497,first crawfish experi delici
498,monster chicken fri steak egg time favorit
499,waitress sweet funni
500,also tast mom multi grain pumpkin pancak pecan butter amaz fluffi delici
501,rather eat airlin food serious
502,cant say enough good thing place
503,ambianc incred
504,waitress manag friendli
505,would recommend place
506,overal impress noca
507,gyro basic lettuc
508,terribl servic
509,thoroughli disappoint
510,much pasta love homemad hand made pasta thin pizza
511,give tri happi
512,far best cheesecurd ever
513,reason price also
514,everyth perfect night
515,food good typic bar food
516,drive get
517,first glanc love bakeri cafe nice ambianc clean friendli staff
518,anyway think go back
519,point finger item menu order disappoint
520,oh thing beauti restaur
521,gone go
522,greasi unhealthi meal
523,first time might last
524,burger amaz
525,similarli deliveri man say word apolog food minut late
526,way expens
527,sure order dessert even need pack go tiramisu cannoli die
528,first time wait next
529,bartend also nice
530,everyth good tasti
531,place two thumb way
532,best place vega breakfast check sat sun
533,love authent mexican food want whole bunch interest yet delici meat choos need tri place
534,terribl manag
535,excel new restaur experienc frenchman
536,zero star would give zero star
537,great steak great side great wine amaz dessert
538,worst martini ever
539,steak shrimp opinion best entre gc
540,opportun today sampl amaz pizza
541,wait thirti minut seat although vacant tabl folk wait
542,yellowtail carpaccio melt mouth fresh
543,tri go back even empti
544,go eat potato found stranger hair
545,spici enough perfect actual
546,last night second time dine happi decid go back
547,even hello right
548,dessert bit strang
549,boyfriend came first time recent trip vega could pleas qualiti food servic
550,realli recommend place go wrong donut place
551,nice ambianc
552,would recommend save room
553,guess mayb went night disgrac
554,howev recent experi particular locat good
555,know like restaur someth
556,avoid establish
557,think restaur suffer tri hard enough
558,tapa dish delici
559,heart place
560,salad bland vinegrett babi green heart palm
561,two felt disgust
562,good time
563,believ place great stop huge belli hanker sushi
564,gener portion great tast
565,never go back place never ever recommend place anyon
566,server went back forth sever time even much help
567,food delici
568,hour serious
569,consid theft
570,eew locat need complet overhaul
571,recent wit poor qualiti manag toward guest well
572,wait wait wait
573,also came back check us regularli excel servic
574,server super nice check us mani time
575,pizza tast old super chewi good way
576,swung give tri deepli disappoint
577,servic good compani better
578,staff also friendli effici
579,servic fan quick serv nice folk
580,boy sucker dri
581,rate
582,look authent thai food go els
583,steak recommend
584,pull car wait anoth minut acknowledg
585,great food great servic clean friendli set
586,assur back
587,hate thing much cheap qualiti black oliv
588,breakfast perpar great beauti present giant slice toast lightli dust powder sugar
589,kid play area nasti
590,great place fo take eat
591,waitress friendli happi accomod vegan veggi option
592,omg felt like never eaten thai food dish
593,extrem crumbi pretti tasteless
594,pale color instead nice char flavor
595,crouton also tast homemad extra plu
596,got home see driest damn wing ever
597,regular stop trip phoenix
598,realli enjoy crema caf expand even told friend best breakfast
599,good money
600,miss wish one philadelphia
601,got sit fairli fast end wait minut place order anoth minut food arriv
602,also best chees crisp town
603,good valu great food great servic
604,ask satisfi meal
605,food good
606,awesom
607,want leav
608,made drive way north scottsdal one bit disappoint
609,eat
610,owner realli realli need quit soooooo cheap let wrap freak sandwich two paper one
611,check place coupl year ago impress
612,chicken got definit reheat ok wedg cold soggi
613,sorri get food anytim soon
614,absolut must visit
615,cow tongu cheek taco amaz
616,friend like bloodi mari
617,despit hard rate busi actual rare give star
618,realli want make experi good one
619,return
620,chicken pho tast bland
621,disappoint
622,grill chicken tender yellow saffron season
623,drive thru mean want wait around half hour food somehow end go make us wait wait
624,pretti awesom place
625,ambienc perfect
626,best luck rude non custom servic focus new manag
627,grandmoth make roast chicken better one
628,ask multipl time wine list time ignor went hostess got one
629,staff alway super friendli help especi cool bring two small boy babi
630,four star food guy blue shirt great vibe still let us eat
631,roast beef sandwich tast realli good
632,even drastic sick
633,high qualiti chicken chicken caesar salad
634,order burger rare came done
635,promptli greet seat
636,tri go lunch madhous
637,proven dead wrong sushi bar qualiti great servic fast food impecc
638,wait hour seat greatest mood
639,good joint
640,macaron insan good
641,eat
642,waiter attent friendli inform
643,mayb cold would somewhat edibl
644,place lot promis fail deliv
645,bad experi
646,mistak
647,food averag best
648,great food
649,go back anytim soon
650,disappoint order big bay plater
651,great place relax awesom burger beer
652,perfect sit famili meal get togeth friend
653,much flavor poorli construct
654,patio seat comfort
655,fri rice dri well
656,hand favorit italian restaur
657,scream legit book somethat also pretti rare vega
658,fun experi
659,atmospher great love duo violinist play song request
660,person love hummu pita baklava falafel baba ganoush amaz eggplant
661,conveni sinc stay mgm
662,owner super friendli staff courteou
663,great
664,eclect select
665,sweet potato tot good onion ring perfect close
666,staff attent
667,chef gener time even came around twice take pictur
668,owner use work nobu place realli similar half price
669,googl mediocr imagin smashburg pop
670,dont go
671,promis disappoint
672,sushi lover avoid place mean
673,great doubl cheeseburg
674,awesom servic food
675,fantast neighborhood gem
676,wait go back
677,plantain worst ever tast
678,great place highli recommend
679,servic slow attent
680,gave star give star
681,staff spend time talk
682,dessert panna cotta amaz
683,good food great atmospher
684,damn good steak
685,total brunch fail
686,price reason flavor spot sauc home made slaw drench mayo
687,decor nice piano music soundtrack pleasant
688,steak amaz rge fillet relleno best seafood plate ever
689,good food good servic
690,absolut amaz
691,probabl back honest
692,definit back
693,sergeant pepper beef sandwich auju sauc excel sandwich well
694,hawaiian breez mango magic pineappl delight smoothi tri far good
695,went lunch servic slow
696,much say place walk expect amaz quickli disappoint
697,mortifi
698,needless say never back
699,anyway food definit fill price pay expect
700,chip came drip greas mostli edibl
701,realli impress strip steak
702,go sinc everi meal awesom
703,server nice attent serv staff
704,cashier friendli even brought food
705,work hospit industri paradis valley refrain recommend cibo longer
706,atmospher fun
707,would recommend other
708,servic quick even go order like like
709,mean realli get famou fish chip terribl
710,said mouth belli still quit pleas
711,thing
712,thumb
713,read pleas go
714,love grill pizza remind legit italian pizza
715,pro larg seat area nice bar area great simpl drink menu best brick oven pizza homemad dough
716,realli nice atmospher
717,tonight elk filet special suck
718,one bite hook
719,order old classic new dish go time sore disappoint everyth
720,cute quaint simpl honest
721,chicken delici season perfect fri outsid moist chicken insid
722,food great alway compliment chef
723,special thank dylan recommend order yummi tummi
724,awesom select beer
725,great food awesom servic
726,one nice thing ad gratuiti bill sinc parti larger expect tip
727,fli appl juic fli
728,han nan chicken also tasti
729,servic thought good
730,food bare lukewarm must sit wait server bring us
731,ryan bar definit one edinburgh establish revisit
732,nicest chines restaur
733,overal like food servic
734,also serv indian naan bread hummu spici pine nut sauc world
735,probabl never come back recommend
736,friend pasta also bad bare touch
737,tri airport experi tasti food speedi friendli servic
738,love decor chines calligraphi wall paper
739,never anyth complain
740,restaur clean famili restaur feel
741,way fri
742,sure long stood long enough begin feel awkwardli place
743,open sandwich impress good way
744,back
745,warm feel servic felt like guest special treat
746,extens menu provid lot option breakfast
747,alway order vegetarian menu dinner wide array option choos
748,watch price inflat portion get smaller manag attitud grow rapidli
749,wonder lil tapa ambienc made feel warm fuzzi insid
750,got enjoy seafood salad fabul vinegrett
751,wonton thin thick chewi almost melt mouth
752,level spici perfect spice whelm soup
753,sat right time server get go fantast
754,main thing enjoy crowd older crowd around mid
755,side town definit spot hit
756,wait minut get drink longer get arepa
757,great place eat
758,jalapeno bacon soooo good
759,servic poor that nice
760,food good servic good price good
761,place clean food oh stale
762,chicken dish ok beef like shoe leather
763,servic beyond bad
764,happi
765,tast like dirt
766,one place phoenix would defin go back
767,block amaz
768,close hous low key non fanci afford price good food
769,hot sour egg flower soup absolut star
770,sashimi poor qualiti soggi tasteless
771,great time famili dinner sunday night
772,food tasti say real tradit hunan style
773,bother slow servic
774,flair bartend absolut amaz
775,frozen margarita way sugari tast
776,good order twice
777,nutshel restaraunt smell like combin dirti fish market sewer
778,girlfriend veal bad
779,unfortun good
780,pretti satifi experi
781,join club get awesom offer via email
782,perfect someon like beer ice cold case even colder
783,bland flavorless good way describ bare tepid meat
784,chain fan beat place easili
785,nacho must
786,come back
787,mani word say place everyth pretti well
788,staff super nice quick even crazi crowd downtown juri lawyer court staff
789,great atmospher friendli fast servic
790,receiv pita huge lot meat thumb
791,food arriv meh
792,pay hot dog fri look like came kid meal wienerschnitzel idea good meal
793,classic main lobster roll fantast
794,brother law work mall ate day guess sick night
795,good go review place twice herea tribut place tribut event held last night
796,chip salsa realli good salsa fresh
797,place great
798,mediocr food
799,get insid impress place
800,super pissd
801,servic super friendli
802,sad littl veget overcook
803,place nice surpris
804,golden crispi delici
805,high hope place sinc burger cook charcoal grill unfortun tast fell flat way flat
806,could eat bruschetta day devin
807,singl employe came see ok even need water refil final serv us food
808,lastli mozzarella stick best thing order
809,first time ever came amaz experi still tell peopl awesom duck
810,server neglig need made us feel unwelcom would suggest place
811,servic terribl though
812,place overpr consist boba realli overpr
813,pack
814,love place
815,say dessert yummi
816,food terribl
817,season fruit fresh white peach pure
818,kept get wors wors offici done
819,place honestli blown
820,definit would eat
821,wast money
822,love put food nice plastic contain oppos cram littl paper takeout box
823,cr pe delic thin moist
824,aw servic
825,ever go
826,food qualiti horribl
827,price think place would much rather gone
828,servic fair best
829,love sushi found kabuki price hip servic
830,favor stay away dish
831,poor servic
832,one tabl thought food averag worth wait
833,best servic food ever maria server good friendli made day
834,excel
835,paid bill tip felt server terribl job
836,lunch great experi
837,never bland food surpris consid articl read focus much spice flavor
838,food way overpr portion fuck small
839,recent tri caballero back everi week sinc
840,buck head realli expect better food
841,food came good pace
842,ate twice last visit especi enjoy salmon salad
843,back
844,could believ dirti oyster
845,place deserv star
846,would recommend place
847,fact go round star awesom
848,disbelief dish qualifi worst version food ever tast
849,bad day low toler rude custom servic peopl job nice polit wash dish otherwis
850,potato great biscuit
851,probabl would go
852,flavor perfect amount heat
853,price reason servic great
854,wife hate meal coconut shrimp friend realli enjoy meal either
855,fella got huevo ranchero look appeal
856,went happi hour great list wine
857,may say buffet pricey think get pay place get quit lot
858,probabl come back
859,worst food servic
860,place pretti good nice littl vibe restaur
861,talk great custom servic cours back
862,hot dish hot cold dish close room temp watch staff prepar food bare hand glove everyth deep fri oil
863,love fri bean
864,alway pleasur deal
865,plethora salad sandwich everyth tri get seal approv
866,place awesom want someth light healthi summer
867,sushi strip place go
868,servic great even manag came help tabl
869,feel dine room colleg cook cours high class dine servic slow best
870,start review two star edit give one
871,worst sushi ever eat besid costco
872,excel restaur highlight great servic uniqu menu beauti set
873,boyfriend sat bar complet delight experi
874,weird vibe owner
875,hardli meat
876,better bagel groceri store
877,go place gyro
878,love owner chef one authent japanes cool dude
879,burger good pizza use amaz doughi flavorless
880,found six inch long piec wire salsa
881,servic terribl food mediocr
882,defin enjoy
883,order albondiga soup warm tast like tomato soup frozen meatbal
884,three differ occas ask well done medium well three time got bloodiest piec meat plate
885,two bite refus eat anymor
886,servic extrem slow
887,minut wait got tabl
888,serious killer hot chai latt
889,allergi warn menu waitress absolut clue meal contain peanut
890,boyfriend tri mediterranean chicken salad fell love
891,rotat beer tap also highlight place
892,price bit concern mellow mushroom
893,worst thai ever
894,stay vega must get breakfast least
895,want first say server great perfect servic
896,pizza select good
897,strawberri tea good
898,highli unprofession rude loyal patron
899,overal great experi
900,spend money elsewher
901,regular toast bread equal satisfi occasion pat butter mmmm
902,buffet bellagio far anticip
903,drink weak peopl
904,order correct
905,also feel like chip bought made hous
906,disappoint dinner went elsewher dessert
907,chip sal amaz
908,return
909,new fav vega buffet spot
910,serious cannot believ owner mani unexperienc employe run around like chicken head cut
911,sad
912,felt insult disrespect could talk judg anoth human like
913,call steakhous properli cook steak understand
914,impress concept food
915,thing crazi guacamol like pur ed
916,realli noth postino hope experi better
917,got food poison buffet
918,brought fresh batch fri think yay someth warm
919,hilari yummi christma eve dinner rememb biggest fail entir trip us
920,needless say go back anytim soon
921,place disgust
922,everi time eat see care teamwork profession degre
923,ri style calamari joke
924,howev much garlic fondu bare edibl
925,could bare stomach meal complain busi lunch
926,bad lost heart finish
927,also took forev bring us check ask
928,one make scene restaur get definit lost love one
929,disappoint experi
930,food par denni say good
931,want wait mediocr food downright terribl servic place
932,waaaaaayyyyyyyyyi rate say
933,go back
934,place fairli clean food simpli worth
935,place lack style
936,sangria half glass wine full ridicul
937,bother come
938,meat pretti dri slice brisket pull pork
939,build seem pretti neat bathroom pretti trippi eat
940,equal aw
941,probabl hurri go back
942,slow seat even reserv
943,good stretch imagin
944,cashew cream sauc bland veget undercook
945,chipolt ranch dip saus tasteless seem thin water heat
946,bit sweet realli spici enough lack flavor
947,disappoint
948,place horribl way overpr
949,mayb vegetarian fare twice thought averag best
950,busi know
951,tabl outsid also dirti lot time worker alway friendli help menu
952,ambianc feel like buffet set douchey indoor garden tea biscuit
953,con spotti servic
954,fri hot neither burger
955,came back cold
956,food came disappoint ensu
957,real disappoint waiter
958,husband said rude even apolog bad food anyth
959,reason eat would fill night bing drink get carb stomach
960,insult profound deuchebaggeri go outsid smoke break serv solidifi
961,someon order two taco think may part custom servic ask combo ala cart
962,quit disappoint although blame need place door
963,rave review wait eat disappoint
964,del taco pretti nasti avoid possibl
965,hard make decent hamburg
966,like
967,hell go back
968,gotten much better servic pizza place next door servic receiv restaur
969,know big deal place back ya
970,immedi said want talk manag want talk guy shot firebal behind bar
971,ambianc much better
972,unfortun set us disapppoint entre
973,food good
974,server suck wait correct server heimer suck
975,happen next pretti put
976,bad caus know famili own realli want like place
977,overpr get
978,vomit bathroom mid lunch
979,kept look time soon becom minut yet still food
980,place eat circumst would ever return top list
981,start tuna sashimi brownish color obvious fresh
982,food averag
983,sure beat nacho movi would expect littl bit come restaur
984,ha long bay bit flop
985,problem charg sandwich bigger subway sub offer better amount veget
986,shrimp unwrap live mile brushfir liter ice cold
987,lack flavor seem undercook dri
988,realli impress place close
989,would avoid place stay mirag
990,refri bean came meal dri crusti food bland
991,spend money time place els
992,ladi tabl next us found live green caterpillar salad
993,present food aw
994,tell disappoint
995,think food flavor textur lack
996,appetit instantli gone
997,overal impress would go back
998,whole experi underwhelm think go ninja sushi next time
999,wast enough life pour salt wound draw time took bring check
